Depth,"South Area, acres","South Volume, acre-feet","North Area, acres","North Volume, acre-feet"
"4,171.00","123,900","116,100","48,010","42,100"
"4,171.50","131,700","180,000","53,820","67,500"
"4,172.00","139,500","247,800","59,640","95,900"
"4,172.50","147,300","319,500","65,450","127,200"
"4,173.00","155,100","395,100","71,260","161,400"
"4,173.50","162,900","474,600","77,080","198,500"
"4,174.00","170,700","558,000","82,890","238,500"
"4,174.50","178,600","645,300","88,700","281,400"
"4,175.00","186,400","736,500","94,520","327,200"
"4,175.50","194,200","831,600","100,300","375,900"
"4,176.00","202,000","930,600","106,100","427,500"
"4,176.50","209,800","1,033,500","112,000","482,000"
"4,177.00","217,600","1,140,300","117,800","539,400"
"4,177.50","225,400","1,251,000","123,600","599,700"
"4,178.00","233,200","1,365,600","129,400","662,900"
"4,178.50","241,000","1,484,100","135,200","729,000"
"4,179.00","248,800","1,606,500","141,000","798,000"
"4,179.50","256,700","1,732,900","146,800","869,900"
"4,180.00","264,400","1,863,200","152,600","944,700"
"4,180.50","269,600","1,996,700","155,600","1,021,800"
"4,181.00","274,700","2,132,800","158,700","1,100,400"
"4,181.50","279,800","2,271,400","161,700","1,180,500"
"4,182.00","284,900","2,412,600","164,700","1,262,100"
"4,182.50","290,000","2,556,300","167,700","1,345,200"
"4,183.00","295,100","2,702,600","170,700","1,429,800"
"4,183.50","300,200","2,851,400","173,800","1,515,900"
"4,184.00","305,400","3,002,800","176,800","1,603,600"
"4,184.50","310,500","3,156,800","179,800","1,692,800"
"4,185.00","315,600","3,313,300","182,800","1,783,500"
"4,185.50","320,700","3,472,400","185,800","1,875,700"
"4,186.00","325,800","3,634,000","188,900","1,969,400"
"4,186.50","330,900","3,798,200","191,900","2,064,600"
"4,187.00","336,000","3,964,900","194,900","2,161,300"
"4,187.50","341,200","4,134,200","197,900","2,259,500"
"4,188.00","346,300","4,306,100","200,900","2,359,200"
"4,188.50","351,400","4,480,500","204,000","2,460,400"
"4,189.00","356,500","4,657,500","207,000","2,563,200"
"4,189.50","361,600","4,837,000","210,000","2,667,500"
"4,190.00","366,700","5,019,100","213,000","2,773,300"
"4,190.50","372,800","5,204,000","217,100","2,880,800"
"4,191.00","378,900","5,391,900","221,200","2,990,400"
"4,191.50","384,900","5,582,900","225,300","3,102,000"
"4,192.00","391,000","5,776,900","229,400","3,215,700"
"4,192.50","397,100","5,973,900","233,500","3,331,400"
"4,193.00","403,200","6,174,000","237,700","3,449,200"
"4,193.50","414,300","6,378,400","247,500","3,570,500"
"4,194.00","425,400","6,588,300","257,300","3,696,700"
"4,194.50","436,600","6,803,800","267,200","3,827,800"
"4,195.00","447,800","7,024,900","277,000","3,963,800"
"4,195.50","467,900","7,253,800","287,800","4,105,000"
"4,196.00","488,000","7,492,800","298,600","4,251,600"
"4,196.50","508,100","7,741,800","309,400","4,403,600"
"4,197.00","528,200","8,000,900","320,300","4,561,000"
"4,197.50","548,400","8,270,000","331,100","4,723,800"
"4,198.00","568,500","8,549,200","341,900","4,892,000"
"4,198.50","588,600","8,838,500","352,700","5,065,600"
"4,199.00","608,700","9,137,800","363,500","5,244,600"
"4,199.50","628,800","9,447,200","374,400","5,429,100"
"4,200.00","648,900","9,766,600","385,200","5,619,000"
"4,200.50","659,500","10,093,700","392,800","5,813,500"
"4,201.00","670,200","10,426,100","400,300","6,011,800"
"4,201.50","680,800","10,763,900","407,900","6,213,900"
"4,202.00","691,400","11,107,000","415,500","6,419,800"
"4,202.50","702,100","11,455,400","423,100","6,629,500"
"4,203.00","712,700","11,809,100","430,700","6,843,000"
"4,203.50","723,400","12,168,100","438,300","7,060,300"
"4,204.00","734,000","12,532,500","445,900","7,281,400"
"4,204.50","744,600","12,902,200","453,500","7,506,300"
"4,205.00","755,300","13,277,200","461,100","7,735,000"
"4,205.50","764,400","13,657,100","467,200","7,967,100"
"4,206.00","773,500","14,041,600","473,300","8,202,200"
"4,206.50","782,700","14,430,700","479,400","8,440,400"
"4,207.00","791,800","14,824,300","485,600","8,681,700"
"4,207.50","801,000","15,222,500","491,700","8,926,000"
"4,208.00","810,300","15,625,300","497,800","9,173,400"
"4,208.50","845,000","16,039,100","503,900","9,423,800"
"4,209.00","879,700","16,470,300","510,000","9,677,300"
"4,209.50","900,600","16,915,400","513,600","9,933,200"
"4,210.00","908,400","17,367,700","517,300","10,190,900"
"4,210.50","916,100","17,823,800","520,900","10,450,500"
"4,211.00","923,900","18,283,800","524,500","10,711,900"
"4,211.50","931,600","18,747,700","528,100","10,975,100"
"4,212.00","939,400","19,215,500","531,900","11,240,100"
"4,212.50","945,600","19,686,800","551,300","11,510,800"
"4,213.00","951,900","20,161,200","572,700","11,791,700"
"4,213.50","958,200","20,638,700","596,500","12,083,900"
"4,214.00","964,500","21,119,400","617,800","12,387,500"
"4,214.50","970,800","21,603,200","637,000","12,701,200"
"4,215.00","977,100","22,090,200","825,300","13,311,100"
"4,215.50","983,400","22,580,300","884,500","13,738,300"
"4,216.00","989,600","23,073,600","945,700","14,195,700"
