Depth,"South Area, acres","South Volume, acre-feet","North Area, acres","North Volume, acre-feet"
4171.0,123900,116100,48010,42100
4171.5,131700,180000,53820,67500
4172.0,139500,247800,59640,95900
4172.5,147300,319500,65450,127200
4173.0,155100,395100,71260,161400
4173.5,162900,474600,77080,198500
4174.0,170700,558000,82890,238500
4174.5,178600,645300,88700,281400
4175.0,186400,736500,94520,327200
4175.5,194200,831600,100300,375900
4176.0,202000,930600,106100,427500
4176.5,209800,1033500,112000,482000
4177.0,217600,1140300,117800,539400
4177.5,225400,1251000,123600,599700
4178.0,233200,1365600,129400,662900
4178.5,241000,1484100,135200,729000
4179.0,248800,1606500,141000,798000
4179.5,256700,1732900,146800,869900
4180.0,264400,1863200,152600,944700
4180.5,269600,1996700,155600,1021800
4181.0,274700,2132800,158700,1100400
4181.5,279800,2271400,161700,1180500
4182.0,284900,2412600,164700,1262100
4182.5,290000,2556300,167700,1345200
4183.0,295100,2702600,170700,1429800
4183.5,300200,2851400,173800,1515900
4184.0,305400,3002800,176800,1603600
4184.5,310500,3156800,179800,1692800
4185.0,315600,3313300,182800,1783500
4185.5,320700,3472400,185800,1875700
4186.0,325800,3634000,188900,1969400
4186.5,330900,3798200,191900,2064600
4187.0,336000,3964900,194900,2161300
4187.5,341200,4134200,197900,2259500
4188.0,346300,4306100,200900,2359200
4188.5,351400,4480500,204000,2460400
4189.0,356500,4657500,207000,2563200
4189.5,361600,4837000,210000,2667500
4190.0,366700,5019100,213000,2773300
4190.5,372800,5204000,217100,2880800
4191.0,378900,5391900,221200,2990400
4191.5,384900,5582900,225300,3102000
4192.0,391000,5776900,229400,3215700
4192.5,397100,5973900,233500,3331400
4193.0,403200,6174000,237700,3449200
4193.5,414300,6378400,247500,3570500
4194.0,425400,6588300,257300,3696700
4194.5,436600,6803800,267200,3827800
4195.0,447800,7024900,277000,3963800
4195.5,467900,7253800,287800,4105000
4196.0,488000,7492800,298600,4251600
4196.5,508100,7741800,309400,4403600
4197.0,528200,8000900,320300,4561000
4197.5,548400,8270000,331100,4723800
4198.0,568500,8549200,341900,4892000
4198.5,588600,8838500,352700,5065600
4199.0,608700,9137800,363500,5244600
4199.5,628800,9447200,374400,5429100
4200.0,648900,9766600,385200,5619000
4200.5,659500,10093700,392800,5813500
4201.0,670200,10426100,400300,6011800
4201.5,680800,10763900,407900,6213900
4202.0,691400,11107000,415500,6419800
4202.5,702100,11455400,423100,6629500
4203.0,712700,11809100,430700,6843000
4203.5,723400,12168100,438300,7060300
4204.0,734000,12532500,445900,7281400
4204.5,744600,12902200,453500,7506300
4205.0,755300,13277200,461100,7735000
4205.5,764400,13657100,467200,7967100
4206.0,773500,14041600,473300,8202200
4206.5,782700,14430700,479400,8440400
4207.0,791800,14824300,485600,8681700
4207.5,801000,15222500,491700,8926000
4208.0,810300,15625300,497800,9173400
4208.5,845000,16039100,503900,9423800
4209.0,879700,16470300,510000,9677300
4209.5,900600,16915400,513600,9933200
4210.0,908400,17367700,517300,10190900
4210.5,916100,17823800,520900,10450500
4211.0,923900,18283800,524500,10711900
4211.5,931600,18747700,528100,10975100
4212.0,939400,19215500,531900,11240100
4212.5,945600,19686800,551300,11510800
4213.0,951900,20161200,572700,11791700
4213.5,958200,20638700,596500,12083900
4214.0,964500,21119400,617800,12387500
4214.5,970800,21603200,637000,12701200
4215.0,977100,22090200,825300,13311100
4215.5,983400,22580300,884500,13738300
4216.0,989600,23073600,945700,14195700
