ID,Ave d13C,Ave d18O,SD d13C,SD d18O,Depth
1H1034,2.67,-4.96,0.07,0.07,34
1H1039,1.06,-5.62,0.04,0.06,39
1H1044,3.33,-4.26,0.06,0.03,44
1H1049,3.41,-4.28,0.06,0.11,49
1H1054,2.68,-4.78,0.10,0.11,54
1H1059,2.53,-4.45,0.09,0.11,59
1H1064,1.74,-5.43,0.04,0.08,64
1H1069,1.20,-6.08,0.07,0.09,69
1H1074,2.36,-5.08,0.11,0.04,74
1H1079,1.23,-5.69,0.06,0.07,79
1H1084,2.10,-4.78,0.05,0.07,84
1H1089,1.74,-5.90,0.05,0.07,89
1H1094,2.53,-5.40,0.13,0.06,94
1H1099,1.89,-5.84,0.06,0.09,99
1H1104,2.64,-5.16,0.08,0.04,104
1H1109,1.80,-5.90,0.07,0.07,109
1H1114,1.44,-4.87,0.06,0.05,114
1H1119,0.95,-6.19,0.14,0.06,119
1H1124,1.24,-5.33,0.05,0.08,124
1H1127.5,1.52,-5.21,0.07,0.11,127.5
1H1134,2.31,-5.67,0.15,0.05,134
1H1139,1.91,-6.05,0.03,0.07,139
1H1144,2.06,-5.15,0.10,0.02,144
1H1148,1.90,-5.35,0.08,0.06,148
1H2004,1.07,-5.98,0.03,0.08,152
1H2009,1.28,-5.22,0.06,0.14,157
1H2014,1.34,-5.69,0.09,0.11,160
1H2018,1.66,-4.64,0.05,0.04,166
1H2024,0.88,-5.88,0.05,0.11,172
1H2029,0.97,-5.09,0.04,0.06,177
1H2039,1.38,-5.19,0.04,0.12,187
1H2044,1.28,-5.36,0.06,0.13,192
1H2049,1.37,-4.49,0.03,0.11,197
1H2055,1.63,-4.98,0.04,0.03,203
2H1014,1.20,-5.76,0.19,0.08,228.5
2H1018,1.87,-5.12,0.10,0.11,232.5
2H1023,1.26,-5.70,0.07,0.03,237.5
2H1029,1.18,-5.02,0.03,0.04,243.5
2H1033,1.49,-5.69,0.15,0.04,247.5
2H1039,0.54,-5.36,0.08,0.03,253.5
2H1044,1.63,-5.84,0.08,0.04,258.5
2H1049,0.76,-5.71,0.08,0.05,263.5
2H1054,1.44,-5.43,0.10,0.09,268.5
2H1059,1.56,-4.94,0.05,0.08,273.5
2H159,1.30,-5.03,0.03,0.08,279
2H1073,0.83,-5.66,0.05,0.05,285
2H179.5,0.12,-4.57,0.06,0.06,287.5
2H170.5,0.57,-6.01,0.08,0.13,294
2H1083,0.10,-5.83,0.18,0.06,297.5
2H1089,-0.11,-4.56,0.05,0.09,303.5
2H1093,0.28,-5.80,0.13,0.05,307.5
2H1097,-1.10,-7.55,0.29,0.09,311.5
2H1099.5,1.07,-5.50,0.12,0.09,314
2H1105,1.36,-6.28,0.14,0.05,319.5
2H1109,0.81,-5.15,0.06,0.11,323.5
2H1115,0.97,-4.79,0.06,0.03,329.5
2H1118.3,0.95,-5.73,0.16,0.06,332.8
2H1122.5,0.84,-4.99,0.17,0.04,337
2H1125,0.79,-5.64,0.24,0.05,339.5
2H1135,0.28,-4.80,0.05,0.06,349.5
2H1139,0.43,-6.40,0.11,0.06,353.5
2H1144,0.98,-5.87,0.19,0.09,358.5
2H1148,0.30,-5.31,0.16,0.09,362.5
2H2003,0.09,-6.40,0.11,0.08,368
2H2009,-0.21,-5.76,0.06,0.10,374
2H2014,-0.42,-4.75,0.04,0.16,379
2H2019,-0.70,-4.60,0.11,0.10,384
2H2024,0.39,-5.21,0.03,0.07,389
2H2029,0.68,-5.43,0.22,0.12,394
2H2034,2.25,-1.53,0.06,0.05,399
2H2039,0.68,-5.92,0.04,0.07,404
2H2044,-0.10,-6.23,0.07,0.05,409
2H2049,0.20,-5.85,0.06,0.06,414
2H2054,0.64,-5.40,0.06,0.06,419
2H257.5,1.53,-5.36,0.08,0.08,422.5
2H258.2,-2.35,-7.53,0.08,0.24,423.2
2H2064,0.85,-5.48,0.09,0.07,430
2H2069,1.18,-4.75,0.12,0.09,434
2H2074,-0.34,-5.66,0.05,0.10,439
2H2079,-1.07,-5.56,0.14,0.12,444
2H2080,0.94,-5.96,0.19,0.22,445
2H2083,-1.48,-6.14,0.09,0.16,449
2H2089,-0.60,-5.83,0.04,0.09,454
2H2100,-0.99,-4.61,0.05,0.08,465
2H2104,-0.75,-5.65,0.07,0.10,469
2H2109,-0.38,-4.63,0.06,0.05,474
2H2114,-3.15,-4.34,0.05,0.02,479
2H2119,-1.83,-4.20,0.05,0.06,484
2H2124,-1.88,-3.26,0.20,0.04,489
2H2129,-1.33,-4.81,0.15,0.07,494
2H2134,-2.47,-3.55,0.05,0.04,499
2H2139,-0.92,-3.11,0.06,0.02,504
3H1004,-0.67,-5.20,0.06,0.05,518.5
3H1019,-0.63,-6.67,0.05,0.05,533.5
3H1024,0.02,-5.25,0.07,0.08,538.5
3H1029,0.12,-6.11,0.07,0.06,543.5
