depth	min	max	median	mean
33	517	629	583	581
33.5	528	632	594	592
34	539	639	605	602
34.5	551	645	616	613
35	558	658	627	624
35.5	565	673	637	634
36	572	689	647	645
36.5	578	708	657	656
37	583	728	667	666
37.5	589	747	677	677
38	595	766	687	687
38.5	599	787	698	698
39	602	806	708	709
39.5	606	826	718	719
40	607	846	729	730
40.5	609	866	739	741
41	612	886	750	751
41.5	613	907	760	762
42	615	927	770	772
42.5	618	948	780	783
43	620	968	791	794
43.5	654	985	816	819
44	687	1001	841	844
44.5	720	1019	866	869
45	753	1036	891	894
45.5	788	1053	916	919
46	822	1070	941	944
46.5	857	1087	966	969
47	891	1104	991	994
47.5	926	1122	1016	1019
48	959	1140	1041	1044
48.5	991	1159	1066	1069
49	1023	1177	1091	1094
49.5	1054	1196	1116	1119
50	1083	1214	1142	1144
50.5	1113	1234	1168	1169
51	1140	1252	1194	1193
51.5	1167	1271	1219	1218
52	1193	1292	1244	1243
52.5	1218	1315	1269	1268
53	1242	1339	1294	1293
53.5	1260	1341	1299	1300
54	1274	1345	1304	1307
54.5	1283	1350	1309	1313
55	1288	1358	1317	1320
55.5	1291	1372	1325	1327
56	1295	1387	1332	1334
56.5	1297	1400	1339	1340
57	1298	1416	1345	1347
57.5	1299	1433	1350	1354
58	1300	1451	1356	1360
58.5	1302	1469	1362	1367
59	1304	1487	1367	1374
59.5	1305	1506	1372	1380
60	1306	1524	1378	1387
60.5	1307	1544	1384	1394
61	1308	1564	1389	1400
61.5	1308	1582	1395	1407
62	1309	1601	1400	1414
62.5	1310	1619	1405	1420
63	1311	1637	1411	1427
63.5	1317	1645	1419	1434
64	1323	1649	1425	1441
64.5	1328	1654	1432	1448
65	1333	1658	1439	1455
65.5	1337	1665	1446	1462
66	1340	1669	1454	1469
66.5	1343	1680	1461	1475
67	1346	1688	1468	1482
67.5	1349	1699	1474	1489
68	1352	1712	1482	1496
68.5	1355	1725	1488	1503
69	1358	1739	1494	1510
69.5	1360	1753	1500	1517
70	1362	1773	1507	1524
70.5	1364	1795	1514	1531
71	1365	1817	1520	1537
71.5	1367	1841	1526	1544
72	1369	1862	1533	1551
72.5	1370	1880	1539	1558
73	1372	1900	1544	1565
73.5	1381	1906	1553	1572
74	1390	1912	1561	1579
74.5	1399	1913	1568	1586
75	1406	1915	1575	1593
75.5	1410	1918	1583	1600
76	1415	1920	1590	1608
76.5	1420	1925	1598	1615
77	1425	1928	1606	1622
77.5	1428	1930	1615	1629
78	1431	1934	1623	1636
78.5	1434	1936	1631	1643
79	1436	1944	1640	1650
79.5	1439	1951	1647	1657
80	1442	1956	1656	1664
80.5	1445	1961	1663	1671
81	1448	1967	1671	1678
81.5	1452	1980	1678	1685
82	1456	1987	1685	1693
82.5	1459	2001	1693	1700
83	1462	2015	1699	1707
83.5	1471	2017	1704	1714
84	1482	2019	1711	1721
84.5	1488	2021	1717	1728
85	1498	2030	1726	1735
85.5	1503	2036	1732	1741
86	1510	2038	1739	1748
86.5	1513	2044	1747	1755
87	1520	2051	1755	1762
87.5	1526	2058	1762	1769
88	1531	2064	1769	1776
88.5	1533	2073	1777	1783
89	1536	2079	1783	1790
89.5	1541	2085	1791	1797
90	1544	2094	1797	1804
90.5	1549	2109	1805	1811
91	1553	2119	1811	1818
91.5	1556	2127	1819	1825
92	1560	2137	1825	1832
92.5	1563	2148	1832	1839
93	1568	2158	1838	1846
93.5	1576	2160	1845	1852
94	1589	2164	1850	1858
94.5	1599	2166	1856	1863
95	1610	2169	1863	1869
95.5	1617	2172	1869	1875
96	1622	2173	1876	1881
96.5	1629	2176	1882	1887
97	1635	2179	1888	1893
97.5	1642	2184	1895	1899
98	1647	2188	1901	1904
98.5	1654	2191	1908	1910
99	1656	2195	1914	1916
99.5	1661	2202	1920	1922
100	1668	2207	1927	1928
100.5	1671	2213	1934	1934
101	1676	2217	1940	1940
101.5	1679	2224	1945	1945
102	1682	2231	1952	1951
102.5	1686	2236	1958	1957
103	1689	2242	1964	1963
103.5	1700	2244	1970	1969
104	1712	2247	1976	1975
104.5	1719	2252	1983	1981
105	1729	2258	1987	1988
105.5	1737	2263	1993	1994
106	1745	2269	1999	2000
106.5	1753	2276	2005	2006
107	1760	2281	2011	2012
107.5	1767	2285	2017	2018
108	1772	2292	2023	2024
108.5	1779	2296	2029	2031
109	1784	2302	2035	2037
109.5	1790	2312	2041	2043
110	1795	2318	2047	2049
110.5	1801	2330	2053	2055
111	1808	2341	2060	2061
111.5	1813	2350	2064	2067
112	1816	2358	2071	2073
112.5	1820	2366	2078	2080
113	1825	2372	2084	2086
113.5	1835	2377	2089	2091
114	1845	2383	2094	2097
114.5	1855	2387	2099	2103
115	1865	2390	2105	2108
115.5	1877	2394	2110	2114
116	1888	2397	2115	2120
116.5	1898	2400	2120	2125
117	1908	2404	2125	2131
117.5	1917	2408	2130	2137
118	1925	2413	2134	2142
118.5	1935	2417	2140	2148
119	1944	2422	2145	2154
119.5	1953	2427	2151	2159
120	1960	2430	2155	2165
120.5	1969	2433	2161	2171
121	1978	2439	2165	2176
121.5	1984	2445	2171	2182
122	1994	2452	2176	2187
122.5	2002	2460	2181	2193
123	2006	2467	2187	2199
123.5	2011	2472	2192	2204
124	2017	2477	2200	2210
124.5	2022	2482	2206	2216
125	2024	2485	2213	2221
125.5	2027	2488	2220	2227
126	2030	2491	2226	2232
126.5	2034	2498	2232	2238
127	2036	2504	2239	2244
127.5	2040	2508	2246	2249
128	2041	2512	2253	2255
128.5	2045	2516	2259	2261
129	2047	2522	2266	2266
129.5	2048	2525	2272	2272
130	2051	2531	2278	2277
130.5	2054	2541	2285	2283
131	2057	2547	2290	2289
131.5	2059	2558	2296	2294
132	2061	2565	2302	2300
132.5	2063	2573	2306	2305
133	2065	2583	2312	2311
133.5	2068	2588	2317	2316
134	2072	2589	2322	2320
134.5	2076	2595	2326	2325
135	2079	2601	2331	2330
135.5	2084	2605	2336	2335
136	2088	2608	2341	2339
136.5	2093	2612	2345	2344
137	2097	2617	2351	2349
137.5	2100	2621	2355	2353
138	2104	2626	2359	2358
138.5	2107	2633	2364	2363
139	2108	2635	2368	2367
139.5	2111	2638	2371	2372
140	2113	2643	2375	2377
140.5	2117	2649	2380	2381
141	2120	2654	2384	2386
141.5	2120	2661	2388	2391
142	2122	2665	2394	2396
142.5	2125	2672	2399	2400
143	2128	2679	2404	2405
143.5	2129	2681	2408	2408
144	2132	2685	2410	2412
144.5	2137	2688	2414	2415
145	2140	2691	2419	2419
145.5	2143	2694	2423	2422
146	2146	2698	2426	2425
146.5	2151	2703	2430	2429
147	2156	2708	2435	2432
147.5	2158	2715	2438	2435
148	2160	2721	2441	2439
